2017-12-26T12:09:08.851+0900 I REPL     [replication-1] Initial Sync Attempt Statistics: { failedInitialSyncAttempts: 0, maxFailedInitialSyncAttempts: 10, initialSyncStart: new Date(1514257748090), initialSyncAttempts: [], fetchedMissingDocs: 0, appliedOps: 0, initialSyncOplogStart: Timestamp(1514257747, 1), initialSyncOplogEnd: Timestamp(1514257747, 1), databases: { databasesCloned: 2, admin: { collections: 2, clonedCollections: 2, start: new Date(1514257748395), end: new Date(1514257748593), elapsedMillis: 198, admin.system.version: { documentsToCopy: 1, documentsCopied: 1, indexes: 1, fetchedBatches: 1, start: new Date(1514257748396), end: new Date(1514257748487), elapsedMillis: 91 }, admin.system.keys: { documentsToCopy: 2, documentsCopied: 2, indexes: 1, fetchedBatches: 1, start: new Date(1514257748487), end: new Date(1514257748593), elapsedMillis: 106 } }, config: { collections: 2, clonedCollections: 2, start: new Date(1514257748593), end: new Date(1514257748848), elapsedMillis: 255, config.system.sessions: { documentsToCopy: 0, documentsCopied: 0, indexes: 2, fetchedBatches: 0, start: new Date(1514257748593), end: new Date(1514257748744), elapsedMillis: 151 }, config.transactions: { documentsToCopy: 0, documentsCopied: 0, indexes: 1, fetchedBatches: 0, start: new Date(1514257748744), end: new Date(1514257748848), elapsedMillis: 104 } } } }
2017-12-26T12:09:08.851+0900 I STORAGE  [replication-1] Finishing collection drop for local.temp_oplog_buffer (2085714f-8e1d-4026-9160-f40526f78b7c).
2017-12-26T12:09:08.934+0900 I REPL     [replication-1] initial sync done; took 0s.
2017-12-26T12:09:08.934+0900 I REPL     [replication-1] transition to RECOVERING from STARTUP2
2017-12-26T12:09:08.934+0900 I REPL     [replication-1] Starting replication fetcher thread
2017-12-26T12:09:08.935+0900 I REPL     [replication-1] Starting replication applier thread
2017-12-26T12:09:08.935+0900 I REPL     [replication-1] Starting replication reporter thread
2017-12-26T12:09:08.935+0900 I REPL     [rsBackgroundSync] could not find member to sync from
2017-12-26T12:09:08.936+0900 I REPL     [rsSync] transition to SECONDARY from RECOVERING
2017-12-26T12:09:24.938+0900 I REPL     [rsBackgroundSync] sync source candidate: minschomongo01:27017
2017-12-26T12:09:24.938+0900 I ASIO     [NetworkInterfaceASIO-RS-0] Connecting to minschomongo01:27017
2017-12-26T12:09:24.941+0900 I ASIO     [NetworkInterfaceASIO-RS-0] Successfully connected to minschomongo01:27017, took 3ms (1 connections now open to minschomongo01:27017)
2017-12-26T12:09:24.943+0900 I ASIO     [NetworkInterfaceASIO-RS-0] Connecting to minschomongo01:27017
2017-12-26T12:09:24.944+0900 I STORAGE  [rsSync] createCollection: local.replset.oplogTruncateAfterPoint with generated UUID: 3ed7ea6f-b6e0-49f1-b5bb-0bc49def71b4
2017-12-26T12:09:24.946+0900 I ASIO     [NetworkInterfaceASIO-RS-0] Successfully connected to minschomongo01:27017, took 3ms (2 connections now open to minschomongo01:27017)
